PosScore NegScore SynsetTerms
0.625 0.0 proche
0.25 0.375 "scrupuleux minutieux consciencieux"
0.5 0.25 "minute étroite"
0.375 0.0 protecteur
0.25 0.125 studieux
0.75 0.0 complet
0.0 0.5 imprudent
0.125 0.75 "passe superficielle"
0.5 0.125 "bâclé bâclé bâclé au hasard"
0.5 0.25 imprudent
0.125 0.375 désinvolte
0.0 0.125 omnivore
0.0 0.125 "sans tapis"
0.375 0.0 "sculpté sculpté gravé"
0.0 0.125 "non sculpté"
0.125 0.0 acatalectique
0.0 0.125 catalectique
0.0 0.5 "non censuré"
0.0 0.25 "caudale en forme de queue"
0.0 0.25 "acaudé acaudal"
0.0 0.625 "anureux sans queue"
0.25 0.0 "acaulescent acaule"
0.125 0.0 causal
0.0 0.375 abortif
0.0 0.5 "anorexigène anorexigène"
0.0 0.5 causal
0.25 0.25 "tributaire contributif contributif contributif"
0.0 0.5 errhin
0.25 0.0 vite
0.0 0.375 "motif moteur"
0.0 0.125 précipiter
0.0 0.375 "sternutatoire sternutatif"
0.0 0.25 "non causal non causal"
0.75 0.0 prudent
0.5 0.25 "chary cagy cagey"
0.25 0.0 Fabien
0.625 0.0 "retenu gardé"
0.625 0.0 "trop prudent"
0.25 0.25 imprudent
0.0 0.625 "déchirant fou impulsif impétueux tête brûlée intello"
0.0 0.5 "acellulaire non cellulaire"
0.5 0.0 cohérent
0.125 0.625 incohérent
0.0 0.75 "non compartimenté"
0.0 0.625 "poreux poreux"
0.0 0.625 "non poreux"
0.125 0.0 bifocal
0.375 0.0 "au milieu au milieu"
0.125 0.0 nucléaire
0.125 0.0 "frange marginale"
0.125 0.0 "plinthe encerclant"
0.0 0.125 centripète
0.25 0.375 "unifiant centripète"
0.375 0.5 "intégratif consolidant"
0.125 0.5 "sûr incontestable"
0.25 0.0 sure_as_shooting
0.125 0.375 incertain
0.0 0.5 indéfini
0.375 0.125 "dans l'air"
0.25 0.5 "sûr certain"
0.125 0.375 "positif convaincu confiant"
0.25 0.125 "incertain incertain incertain"
0.0 0.625 ambivalent
0.0 0.125 "douteux douteux"
0.25 0.375 "à tâtons"
0.125 0.0 convaincu
0.125 0.625 "pas convaincu"
0.0 0.25 douteux
0.375 0.0 "sur de soi"
0.625 0.0 assuré
0.5 0.0 "présomption positive"
0.625 0.0 rassuré
0.0 0.5 incertain
0.25 0.0 "dans l'air"
0.625 0.125 agréé
0.5 0.0 certifiable
0.375 0.125 certifié
0.375 0.0 accrédité
0.0 0.25 "non certifié"
0.0 0.625 inévitable
0.125 0.0 "fatidique fatal"
0.0 0.5 "incontournable incontournable inéluctable"
0.125 0.0 nécessaire
0.625 0.0 "évitable évitable évitable évitable"
0.125 0.25 inévitable
0.375 0.25 "changeant modifiable"
0.625 0.0 Ajustable
0.125 0.5 astatique
0.375 0.5 "à carreaux"
0.0 0.25 "vif-argent mercuriel capricieux erratique"
0.125 0.0 portable
0.25 0.0 réversible
0.125 0.375 confirmé
0.0 0.75 "congelé fixe"
0.375 0.375 "serti_dans_la_pierre sculpté_dans_la_pierre"
0.375 0.375 modifiable
0.0 0.5 incommutable
0.125 0.625 "intransmutable inconvertible"
0.125 0.0 inaltérable
0.5 0.0 modifiable
0.0 0.75 "inaltérable inaltérable"
0.25 0.5 incurable
0.0 0.625 "dernière finale"
0.0 0.625 "non modifiable"
0.25 0.0 ajusté
0.0 0.625 "non corrigé"
0.0 0.375 inadapté
0.125 0.375 ajusté
0.0 0.25 inadapté
0.0 0.625 "inadapté inadapté"
0.375 0.0 modifié
0.0 0.25 paraphrastique
0.375 0.0 modifié
0.125 0.0 "intemporel intemporel"
0.5 0.25 inédit
0.125 0.375 "non réduit"
0.125 0.625 "non révisé"
0.0 0.125 "sans modification"
0.25 0.0 modifié
0.375 0.375 "dénaturé dénaturé dénaturé"
0.125 0.25 échangé
0.125 0.0 transformé
0.0 0.375 varié
0.0 0.625 inchangé
0.0 0.375 même
0.375 0.0 "ionisé ionisé"
0.375 0.125 "syndiqué syndiqué non ionisé non ionisé non ionique"
0.625 0.0 "modifiable modifiable"
0.0 0.625 "immuable immuable"
0.375 0.25 "diagnostic symptomatique"
0.25 0.0 "électropositif positif chargé positivement"
0.0 0.25 "neutre électroneutre"
0.5 0.125 charitable
0.5 0.0 "philanthrope élémosynaire bienveillant bienfaisant"
0.0 0.125 inexploré
0.625 0.125 chaste
0.375 0.0 "continent célibataire"
0.25 0.0 "vertueuse virginale vierge vestale pure"
0.25 0.25 impudique
0.0 0.25 "dévergondée salope promiscuité lâche lumière facile"
0.125 0.125 déchu
0.5 0.25 licencieux
0.75 0.0 "de bonne humeur"
0.75 0.125 "heureux rayonnant"
0.5 0.25 "guilleret chirpy flottant"
0.5 0.0 "ensoleillé gay joyeux"
0.125 0.625 "déprimant déprimant triste"
0.0 0.625 "désolé sinistre sombre morne morne terne lugubre inconsolable terne bleu foncé"
